Food Name,Energy,Carbohydrate,Protein,Fat
Thai Style Vegeterian Macaroni,406,69.8,11.6,8.6
Rice and Stir-Fried Zucchini with Eggs ,190,20.7,13.3,5.7
Thai Fried Vermicelli Noodle ,487,69.7,7.5,18.7
Sukiyaki with Pork ,393,44.6,11.3,19.8
Rice Porridge with Sea Bass ,130,28.2,2.7,0.3
Rice and Fried Green Curry with Fish Ball,237,44.7,5.9,3.7
Big Flat Noodles with pork ,460,58.3,12.5,18.5
Stir-Fried Sukiyaki with Chicken,240,28,11,9
"Rice, Boiled Pork and Boiled Veggies ",458,40,10,23
Rice and Panaeng Curry with Pork,304,38.1,15,9.9
Rice and Spicy Sour Soup with Pork ,390,30,15,10
Clear Soup Rice Vermicelli with Pork Ball ,304,44.8,7.4,14.5
Stir-Fried Cabbage with Tofu and Rice ,327,48.3,14.3,9.2
Mung Bean Noodle Spicy Salad with Boiled White Egg ,240,50.3,9,0.8
